company,year/quarter,revenue,earnings,dividents
ibm,202003.00,17560.00,1.89,1.63
ibm,202002.00,18123.00,1.52,1.63
ibm,202001.00,17571.00,1.31,1.62
ibm,201904.00,21776.00,4.11,1.62
ibm,201903.00,18028.00,1.87,1.62
ibm,201902.00,19161.00,2.81,1.62
ibm,201901.00,18182.00,1.78,1.57
ibm,201804.00,21760.00,2.15,1.55
ibm,201803.00,18756.00,2.94,1.57
MSFT,202003.00,37154.00,1.82,0.51
MSFT,202002.00,38033.00,1.46,0.51
MSFT,202001.00,35021.00,1.40,0.51
MSFT,201904.00,36906.00,1.51,0.51
MSFT,201903.00,33055.00,1.38,0.46
MSFT,201902.00,33717.00,1.71,0.46
MSFT,201901.00,30571.00,1.14,0.46
MSFT,201804.00,32471.00,1.08,0.46
MSFT,201803.00,29084.00,1.14,0.42
AAPL,202003.00,64698.00,0.73,0.20
AAPL,202002.00,59685.00,0.65,0.21
AAPL,202001.00,58313.00,0.64,0.19
AAPL,201904.00,91819.00,1.25,0.20
AAPL,201903.00,64040.00,0.76,0.19
AAPL,201902.00,53809.00,0.55,0.20
AAPL,201901.00,58015.00,0.20,0.18
AAPL,201804.00,84310.00,1.05,0.19
AAPL,201803.00,62900.00,0.73,0.18
GOOG,202003.00,4173.00,16.40,0.00
GOOG,202002.00,38297.00,10.13,0.00
GOOG,202001.00,41159.00,9.87,0.00
GOOG,201904.00,46075.00,15.35,0.00
GOOG,201903.00,4049.00,10.12,0.00
GOOG,201902.00,38344.00,14.21,0.00
GOOG,201901.00,36339.00,9.50,0.00
GOOG,201804.00,39276.00,12.77,0.00
GOOG,201803.00,33740.00,13.06,0.00
FB,202003.00,21470.00,2.71,0.00
FB,202002.00,18687.00,1.80,0.00
FB,202001.00,17737.00,1.71,0.00
FB,201904.00,21082.00,2.56,0.00
FB,201903.00,17652.00,2.12,0.00
FB,201902.00,16886.00,0.91,0.00
FB,201901.00,15077.00,0.85,0.00
FB,201804.00,16914.00,2.38,0.00
FB,201803.00,13727.00,1.76,0.00
PG,202003.00,19318.00,1.63,0.82
PG,202002.00,17698.00,1.07,0.82
PG,202001.00,17214.00,1.12,0.77
PG,201904.00,18240.00,1.41,0.77
PG,201903.00,17198.00,1.36,0.77
PG,201902.00,17094.00,2.12,0.77
PG,201901.00,16462.00,1.04,0.74
PG,201804.00,17438.00,1.22,0.74
PG,201803.00,16690.00,1.22,0.74
GE,202003.00,19417.00,0.14,0.01
GE,202002.00,1770.00,0.26,0.03
GE,202001.00,20524.00,0.70,0.01
GE,201904.00,26235.00,0.06,0.03
GE,201903.00,23360.00,1.08,0.01
GE,201902.00,23414.00,0.01,0.03
GE,201901.00,22202.00,0.41,0.01
GE,201804.00,16670.00,0.07,0.14
GE,201803.00,23392.00,2.62,0.12